20260201 193300;4822.148000;4833.098000;4809.448000;4811.948000;0
20260201 193400;4812.248000;4822.848000;4810.945000;4818.538000;0
20260201 193500;4817.775000;4830.638000;4813.315000;4826.575000;0
20260201 193600;4827.615000;4844.928000;4827.615000;4829.795000;0
20260201 193700;4829.925000;4834.918000;4824.215000;4831.755000;0
20260201 193800;4831.745000;4832.575000;4824.995000;4826.365000;0
20260201 193900;4826.245000;4834.425000;4821.615000;4832.705000;0
20260201 194000;4832.675000;4839.185000;4827.925000;4828.175000;0
20260201 194100;4828.175000;4838.355000;4827.405000;4831.015000;0
20260201 194200;4830.995000;4834.105000;4825.545000;4827.645000;0
20260201 194300;4827.625000;4832.045000;4803.095000;4805.695000;0
20260201 194400;4806.408000;4817.895000;4794.315000;4803.455000;0
20260201 194500;4803.925000;4806.705000;4788.465000;4792.925000;0
20260201 194600;4793.695000;4807.665000;4792.075000;4794.195000;0
20260201 194700;4794.155000;4798.745000;4780.625000;4781.048000;0
20260201 194800;4781.048000;4797.125000;4776.685000;4791.238000;0
20260201 194900;4791.258000;4798.488000;4790.995000;4796.485000;0
20260201 195000;4796.645000;4798.395000;4790.375000;4795.065000;0
20260201 195100;4795.065000;4795.795000;4779.965000;4787.575000;0
20260201 195200;4787.575000;4798.448000;4785.448000;4794.808000;0
20260201 195300;4795.155000;4795.155000;4788.548000;4788.548000;0
20260201 195400;4788.425000;4793.695000;4787.118000;4790.565000;0
20260201 195500;4790.555000;4795.355000;4778.535000;4778.565000;0
20260201 195600;4778.575000;4780.845000;4758.388000;4764.748000;0
20260201 195700;4764.748000;4774.088000;4764.048000;4770.468000;0
20260201 195800;4770.488000;4780.748000;4769.238000;4780.548000;0
20260201 195900;4781.748000;4781.748000;4762.615000;4765.848000;0
20260201 200000;4764.948000;4765.645000;4730.175000;4737.648000;0
20260201 200100;4737.309000;4759.548000;4732.525000;4748.098000;0
20260201 200200;4748.078000;4780.365000;4743.485000;4778.218000;0
20260201 200300;4778.308000;4783.748000;4766.609000;4771.659000;0
20260201 200400;4771.218000;4775.948000;4753.848000;4755.255000;0
20260201 200500;4755.275000;4766.325000;4753.748000;4761.115000;0
20260201 200600;4761.448000;4762.248000;4728.065000;4748.518000;0
20260201 200700;4748.558000;4748.738000;4697.288000;4697.298000;0
20260201 200800;4697.518000;4713.548000;4690.475000;4711.348000;0
20260201 200900;4710.435000;4712.248000;4646.085000;4653.965000;0
20260201 201000;4653.955000;4658.965000;4583.098000;4584.335000;0
20260201 201100;4583.195000;4624.048000;4582.798000;4613.838000;0
20260201 201200;4614.318000;4631.325000;4587.785000;4591.548000;0
20260201 201300;4591.255000;4645.758000;4589.945000;4633.448000;0
20260201 201400;4633.225000;4649.548000;4616.068000;4641.789000;0
20260201 201500;4641.795000;4673.175000;4636.835000;4669.015000;0
